epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,24608.1,0.68361,0.44423,1.06936,0.87122,0.72703,0.80222,0.42337,1.60294,0.95294,1.67924,0.005182,0.005182,0.005182
75,24918.8,0.68077,0.44571,1.07151,0.87032,0.72772,0.80417,0.4248,1.60208,0.9515,1.67803,0.005116,0.005116,0.005116
76,25234.2,0.68125,0.44945,1.07097,0.86701,0.72795,0.80241,0.42526,1.60107,0.94976,1.6771,0.00505,0.00505,0.00505
77,25542,0.67721,0.44237,1.06744,0.87172,0.7282,0.80474,0.42531,1.60017,0.9484,1.67575,0.004984,0.004984,0.004984
78,25851.5,0.67126,0.44007,1.06605,0.86648,0.72767,0.80401,0.42639,1.59926,0.94608,1.67433,0.004918,0.004918,0.004918
79,26168.4,0.66783,0.43743,1.06646,0.87164,0.72785,0.80545,0.42684,1.59841,0.94377,1.67313,0.004852,0.004852,0.004852
80,26480.5,0.66747,0.43635,1.06519,0.87271,0.72967,0.80629,0.42758,1.59755,0.94189,1.6722,0.004786,0.004786,0.004786
81,26795.9,0.66654,0.43782,1.06244,0.87044,0.73077,0.8071,0.42818,1.59659,0.9403,1.67134,0.00472,0.00472,0.00472
82,27117.1,0.66578,0.43408,1.06365,0.86263,0.73274,0.80791,0.42869,1.59539,0.93907,1.66983,0.004654,0.004654,0.004654
83,27429.8,0.65719,0.42936,1.05565,0.86378,0.7311,0.80868,0.42874,1.5944,0.93745,1.66838,0.004588,0.004588,0.004588
84,27739,0.65965,0.42973,1.05643,0.86616,0.73141,0.80903,0.4293,1.59351,0.93606,1.66761,0.004522,0.004522,0.004522
85,28046.5,0.65129,0.42531,1.05437,0.86369,0.73278,0.80983,0.43034,1.59252,0.93471,1.66612,0.004456,0.004456,0.004456
86,28353.5,0.65174,0.42604,1.05199,0.8625,0.73283,0.80906,0.43105,1.59142,0.93345,1.66465,0.00439,0.00439,0.00439
87,28658.7,0.65821,0.42737,1.05871,0.87651,0.73033,0.8104,0.43114,1.59026,0.93143,1.66392,0.004324,0.004324,0.004324
88,28960.6,0.64795,0.42034,1.05242,0.87328,0.73128,0.81114,0.43177,1.58934,0.93026,1.66316,0.004258,0.004258,0.004258
89,29265.7,0.64324,0.41832,1.04923,0.87658,0.73052,0.81318,0.43225,1.5886,0.92861,1.66196,0.004192,0.004192,0.004192
90,29572.5,0.64055,0.41913,1.04656,0.8769,0.73018,0.81336,0.43262,1.58732,0.92783,1.66057,0.004126,0.004126,0.004126
91,29879,0.63851,0.41716,1.04708,0.87652,0.73302,0.81428,0.43329,1.5863,0.9259,1.65945,0.00406,0.00406,0.00406
92,30189,0.63487,0.41196,1.04435,0.87918,0.73218,0.81411,0.43363,1.58507,0.92468,1.6576,0.003994,0.003994,0.003994
93,30502,0.63312,0.41074,1.04212,0.87952,0.73337,0.81458,0.43352,1.58426,0.92352,1.65651,0.003928,0.003928,0.003928
94,30812.1,0.63418,0.41331,1.0436,0.87604,0.73531,0.81536,0.43504,1.583,0.92167,1.65455,0.003862,0.003862,0.003862
95,31120.1,0.63252,0.41175,1.04183,0.87879,0.73654,0.81631,0.43427,1.58153,0.92004,1.6527,0.003796,0.003796,0.003796
96,31424.2,0.6308,0.41075,1.04107,0.88032,0.7366,0.81623,0.43495,1.5806,0.918,1.6511,0.00373,0.00373,0.00373
