epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,27491.8,0.5292,0.33045,0.9947,0.88701,0.78994,0.86107,0.468,1.52228,0.79308,1.6515,0.003532,0.003532,0.003532
100,27773,0.52902,0.33494,0.99678,0.88307,0.791,0.8607,0.46875,1.5219,0.79133,1.64976,0.003466,0.003466,0.003466
101,28056.4,0.52363,0.33187,0.993,0.88754,0.79192,0.86269,0.46893,1.52168,0.78912,1.6474,0.0034,0.0034,0.0034
102,28334.8,0.52074,0.33167,0.98851,0.88439,0.79532,0.86382,0.46925,1.52074,0.78725,1.6444,0.003334,0.003334,0.003334
103,28612.7,0.51606,0.32723,0.98983,0.88186,0.79483,0.8644,0.4694,1.52005,0.78543,1.64232,0.003268,0.003268,0.003268
104,28890.2,0.519,0.32846,0.99372,0.88256,0.79568,0.86438,0.46971,1.51956,0.78322,1.64015,0.003202,0.003202,0.003202
105,29175.7,0.51217,0.32592,0.98913,0.88531,0.7954,0.86451,0.47021,1.51911,0.78165,1.63889,0.003136,0.003136,0.003136
106,29466,0.51074,0.32419,0.98935,0.88285,0.7952,0.86491,0.47083,1.5185,0.78002,1.63711,0.00307,0.00307,0.00307
107,29757.6,0.50739,0.32165,0.98703,0.88261,0.79518,0.86445,0.47073,1.51806,0.77937,1.63542,0.003004,0.003004,0.003004
108,30044.7,0.50375,0.32064,0.98412,0.88471,0.79593,0.86471,0.47105,1.51745,0.77811,1.63385,0.002938,0.002938,0.002938
109,30331.4,0.50566,0.31661,0.98392,0.88546,0.79498,0.86426,0.47146,1.51689,0.77683,1.6318,0.002872,0.002872,0.002872
110,30614.5,0.50235,0.31774,0.98198,0.88647,0.79529,0.86501,0.47213,1.51651,0.77616,1.63013,0.002806,0.002806,0.002806
111,30895.6,0.50471,0.31586,0.98268,0.88643,0.79865,0.86679,0.47271,1.5164,0.77498,1.62856,0.00274,0.00274,0.00274
